,category,title,price
0,Новинки,"Блинчики с ветчиной и сыром, 160г","99,99 ₽"
1,Новинки,"Блинчики с ветчиной и сыром, 160г","99,99 ₽"
2,Новинки,"Блинчики с творогом, 160г","79,99 ₽"
3,Новинки,"Блинчики с мясом, 160г","99,99 ₽"
4,Новинки,"Блинчики с творогом, 160г","79,99 ₽"
5,Новинки,"Блинчики с вишней, 160г","79,99 ₽"
6,Новинки,"Блины Домашние, 100г","79,99 ₽"
7,Новинки,"Блинчики с творогом, 80г","39,99 ₽"
8,Новинки,"Блинчики с мясом, 160г","99,99 ₽"
9,Новинки,"Блинчики с мясом, 80г","49,99 ₽"
10,Новинки,"Блинчики с вишней, 160г","79,99 ₽"
11,Новинки,"Блинчики с вишней, 80г","39,99 ₽"
12,Новинки,"Блинчики с ветчиной и сыром, 80г","49,99 ₽"
13,Новинки,"Блинчики с яблоком и корицей, 160г","79,99 ₽"
14,Новинки,"Блинчики с яблоком и корицей, 80г","39,99 ₽"
15,Новинки,"Блинчики с вишней, 80г","39,99 ₽"
16,Новинки,"Блинчики с творогом, 80г","39,99 ₽"
17,Новинки,"Блинчики с мясом, 80г","49,99 ₽"
18,Новинки,"Блинчики с ветчиной и сыром, 80г","49,99 ₽"
19,Новинки,"Блины Домашние, 50г","38,99 ₽"
20,Новинки,"Блинчики с ветчиной и сыром Шеф Перекрёсток,180г","144,99 ₽"
21,Новинки,"Блинчики с курицей и грибами Шеф Перекрёсток, 170г","139,99 ₽"
22,Новинки,"Блинчики без начинки Шеф Перекрёсток, 200г","114,99 ₽"
23,Новинки,"Блинчики без начинки Шеф Перекрёсток, 400г","199,99 ₽"
24,Новинки,"Каша молочная рисовая Шеф Перекрёсток, 250г","124,99 ₽"
25,Новинки,"Блинчики без глютена с запеченными яблоками Шеф Перекрёсток, 210г","129,99 ₽"
26,Новинки,"Каша с ягодами годжи без добавления сахара Шеф Перекрёсток, 250г","129,99 ₽"
27,Каша,"Каша молочная рисовая Шеф Перекрёсток, 250г","169,99 ₽"
28,Каша,"Каша рисовая на кокосовом молоке с фруктами Шеф Перекрёсток, 250г","169,99 ₽"
29,Каша,"Каша рисовая на молоке, 250г","89,99 ₽"
30,Каша,"Каша овсяная на молоке Шеф Перекресток, 250г","169,99 ₽"
31,Каша,"Каша пшённая на молоке Шеф Перекресток, 250г","169,99 ₽"
32,Каша,"Каша овсяная на молоке, 250г","89,99 ₽"
33,Каша,"Каша из пяти злаков с кокосовым молоком Шеф Перекресток, 250г","169,99 ₽"
34,Каша,"Каша пшённая на молоке, 250г","89,99 ₽"
35,Каша,"Каша гречневая на молоке Шеф Перекрёсток, 250г","169,99 ₽"
36,Каша,"Гурьевская каша с топпингом Шеф Перекрёсток, 240г","169,99 ₽"
37,Каша,"Каша овсяная с яблочным конфитюром Шеф Перекрёсток, 230г","129,99 ₽"
38,Каша,"Каша молочная рисовая Шеф Перекрёсток, 250г","124,99 ₽"
39,Каша,"Овсяная каша со сливочным кремом и вишневым конфитюром Шеф Перекрёсток, 220г","119,99 ₽"
40,Каша,"Каша пшенная с карамелизированной тыквой и миндалем Шеф Перекресток, 230г","169,99 ₽"
41,Каша,"Каша Натурбуфет рисовая на молоке, 200г","109,99 ₽"
42,Каша,"Каша рисовая с кокосовым молоком Шеф Перекрёсток, 230г","139,99 ₽"
43,Каша,"Каша овсяная на молоке Шеф Перекрёсток, 200г","109,99 ₽"
44,Каша,"Геркулесовая каша с яблоками медом и грецкими орехами Шеф Перекрёсток by Novikov, 230г","159,99 ₽"
45,Каша,"Каша молочная Февронья рисовая с пирожком малиной, 270г","119,99 ₽"
46,Каша,"Каша молочная Славянская Трапеза пшеничная с тыквой, 270г","75,90 ₽"
47,Каша,"Каша молочная Славянская Трапеза овсяная, 270г","75,90 ₽"
48,Каша,"Каша Полезный продукт овсяная молочная 6%, 230г","62,15 ₽"
49,Каша,"Каша овсяная на яблочном соке с изюмом Шеф Перекрёсток, 250г","129,00 ₽"
50,Каша,"Каша пшённая молочная с халвой Зелёная Линия, 200г","79,90 ₽"
51,Каша,"Каша пшённая молочная с тыквой Зелёная Линия, 200г","79,90 ₽"
52,Каша,"Каша геркулесовая молочная с курагой и изюмом Зелёная Линия, 200г","79,90 ₽"
53,Каша,"Каша гречневая с печенью по-строгановски Простая Еда, 250г","89,90 ₽"
54,Каша,"Каша гречневая с бефстроганов Простая Еда, 250г","169,90 ₽"
55,Каша,"Каша рисовая молочная Простая Еда, 200г","61,99 ₽"
56,Каша,"Каша овсяная на молоке Натурбуфет Едим Дома, 250г","125,00 ₽"
57,Каша,"Каша рисовая на молоке Натурбуфет Едим Дома, 250г","124,90 ₽"
58,Каша,"Блинчики без глютена с запеченными яблоками Шеф Перекрёсток, 210г","129,99 ₽"
59,Каша,"Каша с ягодами годжи без добавления сахара Шеф Перекрёсток, 250г","129,99 ₽"
60,Блинчики,"Блинчики без начинки жареные Шеф Перекрёсток, 200г","159,99 ₽"
61,Блинчики,"Блинчики с курицей и грибами в сливочном соусе Шеф Перекрёсток, 240г","189,99 ₽"
62,Блинчики,"Блинчики с ветчиной и сыром Шеф Перекрёсток, 240г","189,99 ₽"
63,Блинчики,"Блины с клубникой и малиной Шеф Перекрёсток, 210г","159,99 ₽"
64,Блинчики,"Блинчики с творогом Шеф Перекрёсток, 240г","189,99 ₽"
65,Блинчики,"Блины с ягодной начинкой Шеф Перекрёсток, 210г","159,99 ₽"
66,Блинчики,"Блинчики с мясом Шеф Перекрёсток, 240г","189,99 ₽"
67,Блинчики,"Блинчики без начинки Шеф Перекрёсток, 500г","299,99 ₽"
68,Блинчики,"Блины с яблоком, мёдом корицей Шеф Перекрёсток, 210г","159,99 ₽"
69,Блинчики,"Блинчики с ветчиной и сыром Шеф Перекрёсток, 160г","119,99 ₽"
70,Блинчики,"Блины Цезарь Шеф Перекрёсток, 196г","189,99 ₽"
71,Блинчики,"Блины Шеф Перекрёсток с картофелем и грибами, 160г","159,99 ₽"
72,Блинчики,"Блинчики с лососем и творожным сыром Шеф Перекрёсток, 240г","269,99 ₽"
73,Блинчики,"Блинчики с мясом Шеф Перекрёсток, 160г","149,99 ₽"
74,Блинчики,"Блинчики без начинки Шеф Перекрёсток, 400г","199,99 ₽"
75,Блинчики,"Блинчики с мясом Шеф Перекресток, 480г","359,99 ₽"
76,Блинчики,"Блинчики без начинки Шеф Перекрёсток, 200г","99,99 ₽"
77,Блинчики,"Блинчики с курицей и грибами Шеф Перекрёсток, 160 г","129,99 ₽"
78,Блинчики,"Блинчики с яблоком и корицей Шеф Перекрёсток, 160г","99,99 ₽"
79,Блинчики,"Блинчики с курицей Шеф Перекрёсток, 180г","179,99 ₽"
80,Блинчики,"Блинчики с творогом Шеф Перекрёсток, 160г","99,99 ₽"
81,Блинчики,"Блинчики с вишней Шеф Перекрёсток, 160г","99,99 ₽"
82,Блинчики,"Блины с пастой из орехов и какао Шеф Перекрёсток, 140г","159,99 ₽"
83,Блинчики,"Блинчики без начинки , 50г","24,99 ₽"
84,Блинчики,"Блинчики жареные, 100г","49,99 ₽"
85,Блинчики,"Блинчики с варёной сгущенкой Шеф Перекрёсток, 190г","179,99 ₽"
86,Блинчики,"Блинчики с творожной начинкой, 160г","69,99 ₽"
87,Блинчики,"Блинчики с сыром и ветчиной , 80г","59,99 ₽"
88,Блинчики,"Блинчики с клубничной начинкой жареные, 160г","69,99 ₽"
89,Блинчики,"Блинчики с вишней жареные, 160г","79,99 ₽"
90,Блинчики,"Блинчики с запечённой индейкой, Шеф Перекрёсток, 240г","199,99 ₽"
91,Блинчики,"Блины с мясом Шеф Перекрёсток, 390г","239,99 ₽"
92,Блинчики,"Блины с курицей и грибами Шеф Перекрёсток,130г","99,99 ₽"
93,Блинчики,"Блинчики с вареной сгущенкой Шеф Перекрёсток, 160г","99,99 ₽"
94,Блинчики,"Блины Мираторг с яблоком и корицей охлаждённые, 280г","154,99 ₽"
95,Блинчики,"Блинчики с творогом, 80г","59,99 ₽"
96,Блинчики,"Блинчики с семгой , 100г","41,90 ₽"
97,Блинчики,"Блинчики с картофелем и грибами, 80г","59,99 ₽"
98,Блинчики,"Блинчики с мясом , 80г","69,99 ₽"
99,Блинчики,"Блинчики с повидлом и джемом , 80г","49,99 ₽"
100,Блинчики,"Блины Мираторг со вкусом шоколада и апельсина охлаждённые, 280г","139,99 ₽"
101,Блинчики,"Блинчики с ветчиной и сыром Шеф Перекрёсток, 130г","109,99 ₽"
102,Блинчики,"Блинчики жареные Шеф Перекрёсток, 90г","95,99 ₽"
103,Блинчики,"Блинчики  с яблоком и корицей Шеф Перекрёсток, 130г","99,99 ₽"
104,Блинчики,"Блины Шеф Перекрёсток с творогом, 130г","99,99 ₽"
105,Блинчики,"Блины Шеф Перекрёсток с мясом, 130г","109,99 ₽"
106,Блинчики,"Блинчики с варёной сгущёнкой жареные, 80г","49,90 ₽"
107,Блинчики,"Блинчики с вишней жареные, 80г","35,90 ₽"
108,Блинчики,"Блинчики с творожной начинкой жареные, 80г","35,90 ₽"
109,Блинчики,"Блинчики жареные, 50г","24,90 ₽"
110,Блинчики,"Блинчики с мясом жареные, 80г","49,90 ₽"
111,Блинчики,"Блинчики с мясом Шеф Перекресток, 240г","119,99 ₽"
112,Блинчики,"Блинчики с творогом Шеф Перекресток, 240г","119,99 ₽"
113,Блинчики,"Блинчики с ветчиной и сыром Шеф Перекресток, 240г","119,99 ₽"
114,Блинчики,"Блинчики с яблоком и корицей Шеф Перекресток, 160г","139,99 ₽"
115,Блинчики,"Блинчики жареные Шеф Перекресток, 200г","124,99 ₽"
116,Блинчики,"Блинчики с мясом, 160г","109,99 ₽"
117,Блинчики,"Блинчики с курицей и грибами, 160г","99,99 ₽"
118,Блинчики,"Блинчики с клубнично-малиновой начинкой жареные, 160г","79,99 ₽"
119,Блинчики,"Блинчики с абрикосовой начинкой жареные, 160г","69,99 ₽"
120,Блинчики,"Блинчики с ветчиной и сыром, 160г","109,99 ₽"
121,Блинчики,"Блинчики с вареной сгущенкой жареные, 160г","99,99 ₽"
122,Блинчики,"Блины без начинки Шеф Перекрёсток, 500г","229,00 ₽"
123,Блинчики,"Блины Шеф Перекрёсток с творожным сыром и зеленью, 140г","129,99 ₽"
124,Блинчики,"Блины Шеф Перекрёсток по–парижски, 165г","169,00 ₽"
125,Блинчики,"Блинчики с курицей и грибами Шеф Перекрёсток, 160г","179,99 ₽"
126,Блинчики,"Блинчики У Палыча с мягким сыром и зеленью, 170г","89,00 ₽"
127,Блинчики,"Блинчики У Палыча Курочка Ряба, 170г","109,00 ₽"
128,Блинчики,"Блинчики У Палыча Бретон с ветчиной и сыром, 170г","109,00 ₽"
129,Блинчики,"Блинчики Просто Еда с творогом, 180г","85,90 ₽"
130,Блинчики,"Блинчики Просто Еда с маслом, 120г","55,90 ₽"
131,Блинчики,"Блинчики Февронья с ветчиной и сыром, 160г","119,99 ₽"
132,Блинчики,"Блинчики Февронья со сгущёнкой, 140г","99,99 ₽"
133,Блинчики,"Блинчики с ветчиной и сыром Семейные Традиции, 160г","61,90 ₽"
134,Блинчики,"Блины Мираторг с мясом охлаждённые, 280г","149,99 ₽"
135,Блинчики,"Блины Мираторг с курицей и грибами охлажденные, 280г","144,99 ₽"
136,Блинчики,"Блины Мираторг домашние охлажденные, 300г","114,99 ₽"
137,Блинчики,"Блинчики с лососем Шеф Перекрёсток, 240г","239,99 ₽"
138,Блинчики,"Блинчики FreshClub с творогом, 210г","134,90 ₽"
139,Блинчики,"Блинчики FreshClub с мясом, 210г","149,99 ₽"
140,Блинчики,"Блинчики Бобров и компания, 150г","73,90 ₽"
141,Блинчики,"Блинчики с творогом Бобров и Компания, 200г","114,90 ₽"
142,Блинчики,"Блинчики с вишней Шеф Перекрёсток, 240г","199,99 ₽"
143,Блинчики,"Блины с мясом Шеф Перекрёсток, 210г","151,99 ₽"
144,Блинчики,"Блины с пастой из орехов и какао Шеф Перекрёсток, 160г","159,99 ₽"
145,Блинчики,"Блины с яблоком и корицей Шеф Перекрёсток, 210г","149,99 ₽"
146,Блинчики,"Блины с вишней Шеф Перекрёсток, 210г","149,99 ₽"
147,Запеканка,"Запеканка творожная с грушей Зелёная Линия, 200г","159,00 ₽"
148,Запеканка,"Запеканка творожная с яблоком и корицей Зелёная Линия, 200г","159,00 ₽"
149,Запеканка,"Запеканка творожная с чёрной смородиной Зелёная Линия, 200г","159,00 ₽"
150,Запеканка,"Запеканка творожная Зелёная Линия, 200г","155,00 ₽"
151,Запеканка,"Запеканка творожная с вишней Шеф Перекрёсток, 200г","179,99 ₽"
152,Запеканка,"Запеканка с ароматом ванили, 160г","119,99 ₽"
153,Запеканка,"Запеканка с вишней, 160г","119,99 ₽"
154,Запеканка,"Запеканка с черной смородиной Шеф Перекресток, 180г","159,99 ₽"
155,Запеканка,"Запеканка с ароматом ванили Шеф Перекресток, 180г","109,99 ₽"
156,Запеканка,"Запеканка Простая Еда творожная с яблоками охлажденная, 130г","114,90 ₽"
157,Запеканка,"Рисовый пудинг с манго Шеф Перекрёсток by Novikov, 220г","159,99 ₽"
158,Запеканка,"Мусс из манки с рикоттой и клюквой Шеф Перекрёсток by Novikov, 220г","159,99 ₽"
159,Запеканка,"Запеканка Простая Еда творожная с вишней охлажденная, 130г","109,99 ₽"
160,Запеканка,"Пудинг творожный с персиком, 160г","129,99 ₽"
161,Запеканка,"Запеканка с бананом и кокосом Шеф Перекрёсток, 100г","149,99 ₽"
162,Запеканка,"Запеканка творожная Шеф Перекрёсток, 150г","109,99 ₽"
163,Запеканка,"Запеканка Шеф Перекрёсток с кокосом, бананом и тропическим соусом шт., 210г","134,90 ₽"
164,Запеканка,"Пудинг с тыквой и облепихой Шеф Перекрёсток, 200г","169,99 ₽"
165,Запеканка,"Запеканка Юрюзань творожная, 180г","104,90 ₽"
166,Запеканка,"Запеканка Февронья из творога, 130г","99,99 ₽"
167,Запеканка,"Запеканка творожная с грушей 2.5% Зелёная Линия, 200г","175,00 ₽"
168,Запеканка,"Запеканка творожная с яблоком и корицей 3.5% Зелёная Линия, 200г","164,99 ₽"
169,Запеканка,"Запеканка творожная с черной смородиной 3% Зелёная Линия, 200г","134,99 ₽"
170,Запеканка,"Запеканка творожная 3.5% Зелёная Линия, 200г","175,00 ₽"
